hedef_kitle,fayda,aciklama
Sporcu,Gelişim takibi,Fiziksel ve teknik gelişim grafikleri; dünkü haliyle karşılaştırma
Sporcu,Seviye / kazanım,Net seviye bilgisi motive edici
Sporcu,Kişiye özel antrenman,CSPO ölçümlere göre bireysel antrenman önerisi
Sporcu,10 perspektif değerlendirme,Fiziksel teknik koordinasyon denge öğrenme dikkat motivasyon psikolojik disiplin gelişim
Sporcu,Güvenli gelişim,Antrenör kararı; yapay zeka destek
Sporcu,Veri tabanı erişimi,Akademik makaleler federasyon bilgileri
Veli,Çocuk takibi,Çocuklarım listesi özet kartlar
Veli,Gelişim grafikleri,Anlaşılır düzenli
Veli,Ödeme / aidat,Aidat takibi ödeme bilgisi
Veli,Sağlık özeti,Genel özet; ham veri açılmaz (KVKK)
Veli,Haftalık veli raporu,Güçlü yönler gelişim alanları antrenör gözlemi tavsiye
Veli,Aile danışmanlığı,VIP pakette
İşletme,Tesis yönetim paneli,Sporcu kayıt ders programı yoklama kasa
İşletme,Sporcu grafikleri,Gelişim grafikleri tablolar ölçümler
İşletme,Kişiye özel antrenman,Ölçümlere göre bireysel öneri
İşletme,Veli paneli,Çocuk takibi ödeme — veli memnuniyeti
İşletme,Antrenör paneli,Ders yoklama not
İşletme,Karşılama robotu,Web sitesinde ziyaretçi karşılama
İşletme,7/24 Acil destek,Sistem sorununda Patron'a alarm
İşletme,COO Mağazası,Ek şablon logo web sitesi satın alma
İşletme,Çoklu şube,Bölge müdürü tüm şubelere erişir
İşletmeci,Tek panel,Tesis personel gelir rapor tek ekranda
İşletmeci,Canlı fiyat,Vitrinde seçim yapınca fiyat hemen çıkar
İşletmeci,Tenant yönetimi,Kendi tesisini üyelerini personelini yönetir
İşletmeci,Patron desteği,Onay kuyruğu CELF şablon havuzu
Çalışan (Antrenör),Derslerim yoklama sporcu notu,Derslerim yoklama CSPO önerisi
Çalışan (Kayıt),Kayıt formu aidat ödeme,Yeni kayıt aidat ödeme girişi
Çalışan (Temizlik),Günlük checklist,Günlük temizlik tamamla sorun bildir
Çalışan (Sportif Direktör),Sporcu seviye kazanım CSPO,Sporcu seviye kazanım CSPO
Çalışan (Tesis Müdürü),Operasyon özeti yoklama personel,Tesis özeti yoklama personel
