kategori,hizmet,aciklama
Temel Paket,Tesis yönetim paneli,Sporcu ders yoklama kasa
Temel Paket,Sporcu grafikleri,Gelişim tablolar ölçümler
Temel Paket,Kişiye özel antrenman,CSPO ölçümlere göre
Temel Paket,Veli paneli,Çocuk takibi ödeme grafik
Temel Paket,Antrenör paneli,Ders yoklama not
Temel Paket,Karşılama robotu,Web sitesi ziyaretçi
Temel Paket,7/24 Acil destek robotu,Patron alarm
Temel Paket,Veri tabanı erişimi,Akademik federasyon
Seçmeli Modül,Logo tasarımı,Marka kimliği
Seçmeli Modül,Web sitesi kurulumu,Franchise özel site
Seçmeli Modül,Kurumsal kimlik,Kartvizit broşür
Seçmeli Modül,Robot kotası,CELF merkez kullanımı
Seçmeli Modül,Ek şube,Çoklu tesis
COO Mağazası,Sosyal medya paketi,CMO kampanya içerik planı
COO Mağazası,Web sitesi şablonu,CPO CMO ürünleri
COO Mağazası,Ek şablonlar,Rapor form checklist
